Series ID,Category,Train Size,Test Size,Model,Train Time (s),Predict Time (s),Trend Strength,Seasonality Strength,Noise Level,MAE,RMSE,MAPE,sMAPE
M14369,Micro,366,18,ARIMA,0.0405218601226806,0.0048489570617675,0.7171223475871453,0.2674479565010444,501.0589515908465,235.54470986904337,316.53490950790706,19.647496454134412,16.547531255906573
M14369,Micro,366,18,SARIMA,0.5201230049133301,0.0033967494964599,0.7171223475871453,0.2674479565010444,501.0589515908465,280.26393632120954,330.98601205923075,20.95932169458516,19.23314583574598
M14369,Micro,366,18,Holt-Winters,0.0511519908905029,0.0018959045410156,0.7171223475871453,0.2674479565010444,501.0589515908465,320.0746292281658,366.44890630499594,25.119193110108423,21.451561720395993
M14369,Micro,366,18,DLM,0.0460879802703857,0.0010013580322265,0.7171223475871453,0.2674479565010444,501.0589515908465,238.36671929896804,304.6060813105975,16.99214213536832,16.339527080306855
M14369,Micro,366,18,RNN,2.4264771938323975,1.4774677753448486,0.7171223475871453,0.2674479565010444,501.0589515908465,1443.8207064946494,1475.8728135652912,99.63995060300186,198.56533521968353
M14369,Micro,366,18,LSTM,3.185777187347412,1.4153661727905271,0.7171223475871453,0.2674479565010444,501.0589515908465,1448.22822862996,1480.292531169618,99.95363703697144,199.81468392766112
M14369,Micro,366,18,GRU,3.741319179534912,1.5391387939453125,0.7171223475871453,0.2674479565010444,501.0589515908465,1446.583608817392,1478.5398672575343,99.84354565702948,199.37584986861287
M14369,Micro,366,18,TCN,6.773384094238281,1.2172279357910156,0.7171223475871453,0.2674479565010444,501.0589515908465,245.7331827799479,330.9867071083422,20.655997907728707,17.164286801590166
M14392,Micro,366,18,ARIMA,0.0385909080505371,0.0015857219696044,0.9658479640703924,0.3742821676219818,691.1517360264567,1207.5994727607515,1594.959435586078,9.57537166135817,9.854569961217694
M14392,Micro,366,18,SARIMA,0.5732836723327637,0.0018808841705322,0.9658479640703924,0.3742821676219818,691.1517360264567,1045.4751291774237,1451.8334660231103,8.08775906676051,8.466187185242404
M14392,Micro,366,18,Holt-Winters,0.0531928539276123,0.0022249221801757,0.9658479640703924,0.3742821676219818,691.1517360264567,1201.9734409149924,1597.9352161579293,9.230565108949737,9.80193454150858
M14392,Micro,366,18,DLM,0.0723111629486084,0.0011970996856689,0.9658479640703924,0.3742821676219818,691.1517360264567,1119.9219883426244,1527.2039910464575,8.632533842862399,9.090342904044316
M14392,Micro,366,18,RNN,4.423723936080933,2.5873360633850098,0.9658479640703924,0.3742821676219818,691.1517360264567,12108.00749484698,12206.140505687805,99.97191991870218,199.887726076024
M14392,Micro,366,18,LSTM,3.9494569301605225,2.1107630729675293,0.9658479640703924,0.3742821676219818,691.1517360264567,12110.0892187448,12208.15754259001,99.98973161888038,199.95893427107865
M14392,Micro,366,18,GRU,6.864650011062622,2.858362913131714,0.9658479640703924,0.3742821676219818,691.1517360264567,12110.053475605117,12208.123179284716,99.98944078742376,199.95777267584987
M14392,Micro,366,18,TCN,6.880335807800293,0.5704441070556641,0.9658479640703924,0.3742821676219818,691.1517360264567,1513.1005099826389,1706.0358623384525,13.043217491223944,12.236690742192852
M14465,Micro,240,18,ARIMA,0.0541357994079589,0.0081660747528076,0.7212150947165421,0.3854719230725569,1322.6824145265311,618.4992379690256,774.4319606830034,15.693103188991644,14.808913642911165
M14465,Micro,240,18,SARIMA,0.4995479583740234,0.0031988620758056,0.7212150947165421,0.3854719230725569,1322.6824145265311,838.5070565651567,949.924240793496,20.2996278038874,23.243201720471443
M14465,Micro,240,18,Holt-Winters,0.0486929416656494,0.002115249633789,0.7212150947165421,0.3854719230725569,1322.6824145265311,846.0689444348942,972.8837362583912,20.931955829574058,24.52136002828766
M14465,Micro,240,18,DLM,0.0449159145355224,0.001636266708374,0.7212150947165421,0.3854719230725569,1322.6824145265311,596.8702593054101,733.5716839242043,14.071453618254642,15.21789311515592
M14465,Micro,240,18,RNN,2.141201972961426,1.3661959171295166,0.7212150947165421,0.3854719230725569,1322.6824145265311,4228.769834857517,4298.037762293219,99.97579464200624,199.87794199058035
M14465,Micro,240,18,LSTM,2.6868247985839844,1.3497562408447266,0.7212150947165421,0.3854719230725569,1322.6824145265311,4228.6632055603795,4297.781569750504,99.97747596494985,199.9099416638512
M14465,Micro,240,18,GRU,3.0277998447418213,1.408107042312622,0.7212150947165421,0.3854719230725569,1322.6824145265311,4227.78006127278,4296.962490217129,99.95450633534196,199.818169847718
M14465,Micro,240,18,TCN,5.508011102676392,0.9594249725341796,0.7212150947165421,0.3854719230725569,1322.6824145265311,683.5021864149306,836.6662051765406,18.158170662929574,16.230633013102185
M14806,Micro,558,18,ARIMA,0.0283167362213134,0.0016920566558837,0.9952956500554024,-0.0942333679437132,348.0908756910296,250.68111192576603,332.5132969953684,1.2636181663755597,1.2772938425737808
M14806,Micro,558,18,SARIMA,1.2415568828582764,0.002946138381958,0.9952956500554024,-0.0942333679437132,348.0908756910296,135.90879463599958,201.393238552013,0.698468124116371,0.6933612366034272
M14806,Micro,558,18,Holt-Winters,0.077427864074707,0.0037832260131835,0.9952956500554024,-0.0942333679437132,348.0908756910296,772.8858045940924,871.1436188969086,3.9260218587045745,3.8308933053173018
M14806,Micro,558,18,DLM,0.1769399642944336,0.0016930103302001,0.9952956500554024,-0.0942333679437132,348.0908756910296,268.398141775276,343.7849375129555,1.3541173361120682,1.368739662041584
